Check,SKU,UPC,Description,Price,CurrencyCode,Sell_Unit
1,003064949,000000000002951612,Tao xanh Tquoc kg,13,600,VND,KG
1,003064950,000000000002951618,Buoi nam roi - nglieu ep nuoc,32,000,VND,KG
1,003064953,000000000002951651,Man xanh TQuoc kg,23,000,VND,KG
1,003064955,000000000002951655,Man den Uc kg,235,000,VND,KG
1,003064967,000000000002953026,Bo kho uop san co da,57,000,VND,KG
1,003064970,000000000002953510,Luon ga kg,36,000,VND,KG
1,003064971,000000000002953523,Uc ga file co da kg - HGHD,58,000,VND,KG
1,003064973,000000000002953534,Me ga kg,85,500,VND,KG
1,003064974,000000000002954000,Chan vit rut xuong kg,25,000,VND,KG
1,003064978,000000000002954252,Chim cut kg,28,000,VND,KG
1,003064979,000000000002954501,Tom cang xanh kg,120,000,VND,KG
1,003064981,000000000002954502,Tom lot ram kg,50,000,VND,KG
1,003064989,000000000002955058,Ca Lu Du kg,66,900,VND,KG
1,003065011,000000000002955304,Ca Ro phi lam sach kg-NCC,55,900,VND,KG
1,003065014,000000000002952314,Bao tu don thit kg,50,000,VND,KG
1,003065016,000000000002955346,Ca Khoai uop kg,19,000,VND,KG
1,003065020,000000000002911544,S-Man HaNoi kg (1),20,000,VND,KG
1,003065021,000000000002911618,S-Buoi nam roi loai3 kg (1),10,500,VND,KG
1,003065022,000000000002911500,S-C-Buoi Hong kg (1),13,000,VND,KG
1,003065023,000000000002911659,S-Hong bom DLat kg (1),25,000,VND,KG
1,003065027,000000000002955313,Ca Mang kg,99,900,VND,KG
1,003065028,000000000002955315,Ca Mang so che kg,40,000,VND,KG
1,003065042,000000000002956528,Xoi cac loai kg,20,000,VND,KG
1,003065108,000000000002956619,Ca Loc don thit kg,40,000,VND,KG
1,003065110,000000000002955054,File Ca Cam kg,30,000,VND,KG
1,003065223,000000000002957288,Kho ca moi kg,162,000,VND,KG
1,003065225,000000000002957294,Kho ca Duoi tam kg,96,500,VND,KG
1,003065228,000000000002957299,Kho ca Keo kg,120,000,VND,KG
1,003065230,000000000002957258,Kho ca tra kg,175,000,VND,KG
1,003065233,000000000002957285,Kho ca com sua kg,155,000,VND,KG
1,003065244,000000000002955093,Ca Hong Cham kg,75,000,VND,KG
1,003065261,000000000002950032,Baro toi kg,1,VND,KG
1,003065266,000000000002950053,Cai be trang kg,5,500,VND,KG
1,003065275,000000000002951594,Nhan long kg,24,500,VND,KG
1,003065277,000000000002951602,Mang cut kg,31,000,VND,KG
1,003065281,000000000002951621,Hong Ngam L2 kg,30,000,VND,KG
1,003065284,000000000002951635,Man My kg,269,900,VND,KG
1,003065292,000000000002951660,Trai thi kg,6,000,VND,KG
1,003065294,000000000002951701,Khe ngot VNam kg,8,000,VND,KG
1,003065301,000000000002952253,Nac dam heo sc kg,85,500,VND,KG
1,003065309,000000000002952289,Da heo kho kg,296,000,VND,KG
1,003065312,000000000002952319,Huyet Heo kg,7,000,VND,KG
1,003065314,000000000002952320,Thu linh kg,60,000,VND,KG
1,003065320,000000000002953544,Ngoc ke ga kg,96,000,VND,KG
1,003065321,000000000002955329,Ca bong duc xe kg,50,000,VND,KG
1,003065330,000000000002957286,Kho muc lot da kg,270,000,VND,KG
1,003065331,000000000002957302,Tom kho loai 2 kg,255,000,VND,KG
1,003065333,000000000002957303,Tom kho loai 3,385,000,VND,KG
1,003065334,000000000002957036,Tai heo ngam dam kg,50,000,VND,KG
1,003065338,000000000002957039,Mam ca com kg,109,000,VND,KG
1,003065345,000000000002956503,Banh pho kg,10,000,VND,KG
1,003065376,000000000002956030,S-Ba khia tron AL kg,39,000,VND,KG
1,003065385,000000000002950109,Bong Bau kg,10,500,VND,KG
1,003065386,000000000002950132,Bon Bon tuoi kg,13,000,VND,KG
1,003065388,000000000002950158,Rau thom l.sach kg,25,000,VND,KG
1,003065405,000000000002955238,Ca doi lam sach kg,79,900,VND,KG
1,003065407,000000000002955240,Ca Du lam sach kg-NCC,32,000,VND,KG
1,003065418,000000000002955252,Ca Luoi Trau lam sach kg-TuNCC,39,000,VND,KG
1,003065423,000000000002955255,Ca Ngan lam sach kg,79,000,VND,KG
1,003065428,000000000002955259,Ca Soc lam sach kg,35,000,VND,KG
1,003065444,000000000002955256,Ca Ngu lam sach kg,30,000,VND,KG
1,003065449,000000000002957050,Hu tieu tuoi kg,5,500,VND,KG
1,003065452,000000000002956614,Dua mam chay kg,73,500,VND,KG
1,003065713,000000000002955525,Muc Ghim kg,129,900,VND,KG
1,003065732,000000000002955047,Ca Bong lau nac kg,31,000,VND,KG
1,003065736,000000000002952325,Ruot non(pheo) kg,44,000,VND,KG
1,003065738,000000000002950855,Cu cai trang tuoi kg,15,000,VND,KG
1,003065740,000000000002950111,Dau nanh long tuoi kg,10,000,VND,KG
1,003065742,000000000002950826,Ca chua Mien Bac kg,18,700,VND,KG
1,003065747,000000000002957053,Mam ruoc VTau kg,65,500,VND,KG
1,003065748,000000000002957301,Kho ca thu trang kg,155,000,VND,KG
1,003065916,000000000002957065,Thit ga chay kg,55,000,VND,KG
1,003065917,000000000002957063,Thit bo chay kg,60,000,VND,KG
1,003065918,000000000002957064,Cot let chay kg,55,000,VND,KG
1,003065919,000000000002957066,Heo hai lat chay kg,55,000,VND,KG
1,003065920,000000000002957067,Suon non chay kg,60,000,VND,KG
1,003065922,000000000002957069,Hoanh thanh chay kg,37,000,VND,KG
1,003065948,000000000002957254,Kho sac lon kg,220,000,VND,KG
1,003065950,000000000002950843,Hanh tay bich KM kg,3,300,VND,KG
1,003065951,000000000002950844,Toi bich KM kg,5,500,VND,KG
1,003065952,000000000002950882,Ot vang HaNoi kg,33,000,VND,KG
1,003065954,000000000002911520,S-Luu TQ loai 2 kg (1),14,000,VND,KG
1,003065959,000000000002951718,Xoai Tuong ngam kg,30,000,VND,KG
1,003065960,000000000002953538,Thit ga tha vuon 1/2 con kg,38,800,VND,KG
1,003065963,000000000002954004,Thit vit 1/2 con kg,38,000,VND,KG
1,003065964,000000000002955107,Dau ca Ngu kg,21,000,VND,KG
1,003065966,000000000002955137,Minh ca Ngu kg,78,000,VND,KG
1,003065967,000000000002955340,Ca Mom lam sach kg,41,500,VND,KG
1,003065975,000000000002955518,Muc ong lam sach kg,175,000,VND,KG
1,003065976,000000000002957252,Kho ruoc kg,28,000,VND,KG
1,003065977,000000000002957260,Kho Muc loai trung kg,180,000,VND,KG
1,003065978,000000000002957273,Kho ca Loc file kg,140,000,VND,KG
1,003065979,000000000002957501,Mi can kg,47,000,VND,KG
1,003065981,000000000002957505,Mam Thai chay kg,82,500,VND,KG
1,003065988,000000000002957751,Dau bi kg,8,000,VND,KG
1,003066205,000000000002954515,Tom hap kg,120,000,VND,KG
1,003066207,000000000002955226,Ca vien kg,90,000,VND,KG
1,003066208,000000000002951766,Nho do Uc loai2 kg,70,000,VND,KG
1,003066214,000000000002951765,Man xanh Hanoi kg,24,000,VND,KG
1,003065756,000000000002957012,Cha ca Basa tuoi kg,34,000,VND,KG
1,003065813,000000000002911527,S-Tao hong kg (1),6,000,VND,KG
1,003065841,000000000002911556,S-Tao FUJI loai 1 kg (1),5,000,VND,KG
1,003068521,000000000002951769,Nhan say kho kg,78,000,VND,KG
1,003068524,000000000002955374,S-Minh ca Thu ncon so che kg,115,000,VND,KG
1,003068536,000000000002955530,Muc nang nho so che kg,69,000,VND,KG
1,003068537,000000000002955531,Muc nang lon so che kg,85,000,VND,KG
1,003068540,000000000002955247,Ca Huong lam sach kg,72,000,VND,KG
1,003068850,000000000002951770,KiWi TQuoc kg,56,000,VND,KG
1,003069456,000000000002957763,Bot bang kg,27,000,VND,KG
1,003069459,000000000002957764,Bot khoai kg,43,000,VND,KG
1,003069478,000000000002957768,Me trang kg,106,000,VND,KG
1,003070202,000000000002911623,S-Chuoi cha bot kg (1),1,VND,KG
1,003070243,000000000002950126,Mang luoi lon kg,115,000,VND,KG
1,003070319,000000000002950049,Mang kho kg,60,000,VND,KG
1,003070322,000000000002957772,Ha thu o kg,48,000,VND,KG
